ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
F-1998,pkn,P-461,*ogor,,blood,jakobiA[no. 46]
F-2479,pkn,P-509,"*oil-t̪i, pl. *oil",,guest,jakobiA[109]
F-1703,pkn,P-400,*oɟ,,"to fight, quarrel",jakobiA[no. 166]; jakobiA[no. 161]
F-452,pkn,P-519,"*oɟ ,*oe?",,millet,jakobiA[no. 416]
F-482,pkn,P-126,*oɟeŋ,,right (hand),jakobiA[no. 28]
F-1662,pkn,P-391,"*ol-d̪i, pl. *ol",,"breast, female",jakobiA[no. 35]
F-1090,pwkn,P-256,*om-t̪i,,"moon, month",jakobiA[no. 433]
F-2903,pnu,P-306,*on ?,,,rilly2010[no. 90]
F-1069,pkn,P-253,*on-t̪ʊ,,star,jakobiA[no. 434]
F-2904,pnu,P-510,"*on, pl. *on-gV",,,rilly2010[no. 90]
F-2905,pnu,P-231,*ondi < *on-ti?,,,rilly2010[no. 6]
F-2906,pnu,P-239,*oɲ-,,,rilly2010[no. 148]
F-2907,pnu,P-253,"*oɲe ~ *wiɲe, sg. *oɲ(e)di ~ *wiɲ(e)di",,,rilly2010[no. 61]
F-2908,pnu,P-459,*ool-e ~ *wiil-e,,,rilly2010[no. 85]
F-2909,pnu,P-230,*oon,,cf. to hate,rilly2010[no. 3]
F-2910,pnu,P-489,*ooŋ,,,rilly2010[no. 23]
F-2911,pnu,P-438,*oor-,,,rilly2010[no. 22]
F-972,pkn,P-232,*or,,head,jakobiA[no. 3]
F-2635,pkn,P-94,*or-d̪i,,salt,jakobiA[no. 413]
F-1859,pkn,P-434,*or-i,,rope,jakobiA[no. 254]
F-2912,pnu,P-397,*or-og-i,,,rilly2010[no. 76]
F-1952,pkn,P-455,*or-t̪i,,"vein, sinew",jakobiA[no. 45]
F-536,pkn,P-235,*or-t̪i/-t̪ʊ,,sheep,jakobiA[no. 287]
F-1818,pkn,P-310,"*or, pl. *or-nd̪ʊ",,name,jakobiA[no. 105]
F-1948,pkn,P-454,*ork-,,to urinate,jakobiA[no. 54 c]
F-2913,pnu,P-258,*orr-u < *arr-u,,,rilly2010[no. 42]
F-1877,pkn,P-138,*ort̪-?,,to send,jakobiA[no. 95]
F-2914,pnu,P-224,"*os-i, sg. *os-ti",,,rilly2010[no. 145]
F-407,pkn,P-110,*oʃ-i,,"hand, arm",jakobiA[no. 24]
F-1886,pkn,P-440,"*ot̪-ir, *ot̪-iɲ",,to sneeze,jakobiA[no. 57]
F-385,pkn,P-40,*ot̪i,,water,jakobiA[no. 451]
F-2064,pkn,P-136,"*ɔg-d̪ʊ, pl. *ɔg-i",,goat,jakobiA[no. 284]
F-918,pwkn,P-222,*ɔgɟ-a,,husband,jakobiA[no. 113]
F-919,pekn,P-222,*ɔgɟ-a-n,,husband,jakobiA[no. 113]
F-1685,pkn,P-221,*ɔk-i,,chest,jakobiA[no. 34]
F-1979,pkn,P-459,*ɔl-,,yesterday,jakobiA[no. 529]
F-2319,pkn,P-231,*ɔndu,,"male donkey, rottlandjakobi1991",
F-1878,pkn,P-438,*ɔr-,,to sing,jakobiA[no. 192]
F-1892,pkn,P-438,*ɔr-,,song,jakobiA[no. 193]
F-926,pkn,P-223,"*ɔr-, *ɔɽ",,pain,jakobiA[no. 538]
F-632,pkn,P-157,*ɔr-t̪i-,,lamb ?,jakobiA[no. 289]
F-1105,pkn,P-258,*ɔrga?,,two,jakobiA[no. 448]
F-1628,pkn,P-383,*ɔrʃ-,,to belch,jakobiA[no. 396]
F-2915,pnu,P-524,*sar- ± k,,,rilly2010[no. 144]
F-2916,pnu,P-435,"*sib-i, sg. *sibi-di",,,rilly2010[no. 102]
F-2917,pnu,P-297,*sokk < *sog +k/g ?,,,rilly2010[no. 151]
F-2918,pnu,P-464,*soɲ-?,,"soɲu-di? ""dry""; *soɲu-ger? make dry",rilly2010[no. 164 *]
F-2919,pnu,P-299,*sukk-,,,rilly2010[no. 41]
F-2920,pnu,P-401,*suŋ-u-di ~ *sun-ti,,,rilly2010[no. 134]
F-2921,pnu,P-514,*suug-,,,rilly2010[no. 100]
F-1771,pkn,P-418,*ʃal-t̪i,,kidney,jakobiA[no. 52]
F-1625,pkn,P-382,*ʃalmɛ,,beard,jakobiA[no. 11]
F-1460,pkn,P-344,*ʃan-,,"to buy, sell",jakobiA[no. 385]; jakobiA[no. 386]
F-1694,pkn,P-398,*ʃar-,,evening,jakobiA[no. 526]
F-2922,pnu,P-406,*ʃar-ti ~ *sar-ti,,,rilly2010[no. 67]
F-2678,pkn,P-343,"*ʃar, pl. *ʃar-i",,thing,jakobiA[no. 517]
F-2581,pkn,P-524,*ʃar(-k)-,,to fear,jakobiA[no. 536]
F-1946,pkn,P-453,*ʃeb-,,udder,jakobiA[]
F-1471,pkn,P-346,*ʃen,,year,jakobiA[no. 520]
F-1844,pkn,P-430,*ʃɛrg-,,"to pierce, stab",jakobiA[no. 302]
F-1864,pkn,P-435,*ʃib-d̪u,,sand,jakobiA[no. 457]
F-2594,pkn,P-297,"*ʃog, *ʃɔg",,to take (away),jakobiA[no. 97]
F-1706,pkn,P-401,*ʃon-t̪ʊ,,fingernail,jakobiA[no. 31]
F-1493,pkn,P-350,*ʃu-,,"to go, leave, depart",jakobiA[no. 81]
F-1908,pkn,P-446,*ʃuk-,,to suck,jakobiA[no. 374]
F-2631,pkn,P-464,*ʃuɲ-,,to dry,
F-1815,pwkn,P-425,*ʃur-,,to milk,jakobiA[no. 280]
F-2923,pnu,P-302,*taar,,,rilly2010[no. 94]
F-2924,pnu,P-301,*taar-,,,rilly2010[no. 189]
F-1922,pkn,P-448,*t̪aɲ-(ig-),,to taste (food),jakobiA[no. 550]
F-2969,pnu,P-168,*tar-,,,rilly2010[no. 189]
F-1281,pkn,P-301,*t̪ar-,,to come,jakobiA[no. 0]
F-2925,pnu,P-488,"*te-r, pl. *ti-r < *te-gi-r?",,originally *te 'that' (Rilly no. 19),rilly2010[no. 90]
F-2926,pnu,P-129,*teer-,,,rilly2010[no. 167]
F-2504,pkn,P-83,"*t̪eg-, *teg-?",,"to tie, fetter",jakobiA[no. 375]; jakobiA[no. 186a]
F-2927,pnu,P-319,*tegi? ~ *tei,,,rilly2010[no. 188]
F-1836,pkn,P-428,"*t̪eɟ, *teɟ?",,oil,jakobiA[no. 403]
F-2321,pkn,P-315,*t̪ek-,,"to stay, stop",rilly2010[no. 8]
F-1329,pkn,P-312,*t̪el-,,grave,jakobiA[no. 557]
F-1754,pkn,P-413,"*tel-?, *t̪el-t̪ʊ, pl. *t̪el",,hair,jakobiA[no. 5]
F-1872,pkn,P-437,*t̪er-,,seed,jakobiA[no. 478]
F-750,pkn,P-185,*t̪er-,,seed,jakobiA[no. 478]
F-1903,pkn,P-445,*t̪ɛf-,,"to stand, stop",jakobiA[no. 89]
F-2694,pkn,P-85,*tɛɟ-,,"green, unripe",jakobiA[no. 595]; jakobiA[no. 471]
F-1284,pkn,P-302,*t̪ɛr-,,"girl, daughter",jakobiA[no. 127]; jakobiA[no. 123]
F-1374,pkn,P-322,*ti-,,to give (one thing to sb),jakobiA[no. 150]
F-1334,pkn,P-488,"*t̪i, *tir?",,they,jakobiA[no. 610]
F-2928,pnu,P-315,"*ti(i)g, *te(e)g",,,rilly2010[no. 8]
F-1765,pkn,P-416,*til-d̪i,,heavy,jakobiA[no. 572]
F-2929,pnu,P-322,*tir-,,,rilly2010[no. 47]
F-1894,pkn,P-437,*t̪ir-,,"to sow, cultivate",jakobiA[no. 261]
F-2644,pkn,P-129,*t̪ir-,,"to sow, cultivate",jakobiA[no. 261]
F-1390,pkn,P-327,"*t̪od̪, pl. tʊɲ-i",,"child, boy",jakobiA[no. 121]
F-1425,pkn,P-333,*t̪oɟig,,three,jakobiA[no. 489]
F-1592,pkn,P-373,*t̪ol-,,"to swallow, unrelated?",jakobiA[no. 394]
F-1400,pkn,P-329,*t̪oo,,belly,jakobiA[]
F-2930,pnu,P-327,"*too-di, pl. *too-ɲi",,,rilly2010[no. 55]
F-2931,pnu,P-328,*toog-,,,rilly2010[no. 74]
F-2932,pnu,P-411,*toor-,,,rilly2010[no. 58]
F-1177,pkn,P-528,*tor-,,"old, elder",jakobiA[no. 600]; jakobiA[no. 107]
F-1750,pkn,P-411,*t̪or-,,to enter,jakobiA[]
F-2665,pkn,P-463,"*t̪orgu, pl. *t̪ergi",,deaf,
F-2933,pnu,P-333,*tossi-gu,,,rilly2010[no. 182]
F-1581,pkn,P-370,*tɔr-ɛ,,termite,jakobiA[no. 337]
F-2361,pkn,P-478,*tul-,,to pick up,jakobiA[no. 266a]
F-2934,pnu,P-329,*tuu < *tag,,,rilly2010[no. 190]
F-1395,pkn,P-328,"*ʈoŋ-, *ɖug-",,to beat,jakobiA[no. 163]
F-1061,pkn,P-252,*ʈɔr,,to exchange,jakobiA[no. 387]
F-2719,pkn,P-198,*ʈug-,,all,jakobiA[no. 484]
F-1660,pkn,P-390,"*ʈuɲ-t̪i, pl. ʈuɲ-i",,bowels,jakobiA[no. 47]
F-1648,pkn,P-387,*ʈʊnɖ-ʊ,,blind,jakobiA[no. 63]
F-2935,pnu,P-379,*uburti,,,rilly2010[no. 21]
F-1759,pekn,P-414,*ud̪ul-aŋ,,hare,jakobiA[no. 326h]
F-2936,pnu,P-461,*ùg-er,,,rilly2010[no. 161]
F-2489,pkn,P-254,*ugul,,day,
F-2937,pnu,P-255,"*ugul(e), sg. *ugul-di",,,rilly2010[no. 135]
F-2938,pnu,P-254,*ugur,,,rilly2010[no. 95]
F-2656,pkn,P-141,"*ui, sg. ui-t̪u",,,
F-1681,pkn,P-395,"*uil-t̪i, pl. *uil",,charcoal,jakobiA[no. 212]
F-1791,pkn,P-263,*uɟ,,to lay down,jakobiA[no. 99]
F-2939,pnu,P-256,*un-,,,rilly2010[no. 107]
F-2940,pnu,P-467,"*unde, sg. *unde-di ~ *undu-di",,two roots?,rilly2010[no. 118]
F-2054,pkn,P-467,"*unu-, *uru-?",,house fly,jakobiA[no. 338]
F-1698,pkn,P-399,*uɲ,,human excrement,jakobiA[no. 54 f]
F-2941,pnu,P-399,*uɲɲi,,,rilly2010[no. 63]
F-2942,pnu,P-232,*ur,,,rilly2010[no. 180]
F-1643,pkn,P-386,*ur-,,black,jakobiA[no. 582]
F-2541,pkn,P-246,*ur-,,black,jakobiA[no. 582]
F-1111,pkn,P-259,*ur-i,,you (pl),jakobiA[no. 609]
F-2943,pnu,P-246,*ur(r)-i,,,rilly2010[no. 123]
F-2944,pnu,P-487,*urr-,,,rilly2010[no. 18]
F-2945,pnu,P-262,*us-k-,,,rilly2010[no. 56]
F-2946,pnu,P-112,*usi-gu,,,rilly2010[no. 68]
F-2947,pnu,P-126,*usi-n-(gor),,"lit. ""côté du sorgho"" (main utilisée pour manger)",rilly2010[no. 50]
F-2948,pnu,P-141,"*usi, sg. usi-di",,,rilly2010[no. 174]
F-1084,pkn,P-255,*ʊlc-,,ear,jakobiA[no. 15]
F-2714,pkn,P-530,*ʊn-,,to dream,jakobiA[no. 60]
F-2718,pkn,P-530,*ʊn-,,dream,jakobiA[no. 61]
F-1689,pkn,P-397,*ʊrg-,,cold,jakobiA[no. 588]
F-2949,pnu,P-378,*wee,,,rilly2010[no. 44]
F-2950,pnu,P-248,*weer,,,rilly2010[no. 186]
F-2951,pnu,P-217,*wel,,,rilly2010[no. 27]
F-485,pkn,P-126,*wen < *uin,,(à) droite,rilly2010[no. 50]
F-2952,pnu,P-503,*wer-,,,rilly2010[no. 75]
F-2106,pkn,P-237,*wid̪d̪-?,,nine,jakobiA[no. 495]
F-2953,pnu,P-250,*wiid-,,,rilly2010[no. 157]
F-2954,pnu,P-247,"*wir-k, -j",,,rilly2010[no. 93]
F-2955,pnu,P-458,*wirge(-di),,,rilly2010[no. 191]
F-2956,pnu,P-526,*wis-ti,,pre-Nubian?,rilly2010[no. 169]
F-86,fia,P-29,a-bō,,my father,
F-74,fia,P-25,a-wir,,"Freund, Genosse",reinisch1879[15]
F-2443,dgl,P-503,á-wri,,friend,armbruster1965[24]
F-76,dgl,P-25,á-wri,,"friend, < *an-wri",armbruster1965[24]
F-75,xnz,P-25,a-wríi,,Freund,massenbach1962[147]
F-116,onw,P-39,a(a)s,,to measure,OND[21]
F-66,onw,P-23,"a(u)ou, aw",,"to do, make",OND[13]
F-2350,brk,P-491,aːɽum,,lion,thelwall1977[203]
F-296,dgl,P-9,áa,,heart; self,armbruster1965[1]
F-297,xnz,P-9,áa,,"Brust, Herzgrube, Seele, Leben, Selbst",massenbach1962[140]
F-90,dgl,P-30,áab,,to catch with a net,armbruster1965[2]
F-89,xnz,P-30,áab(e),,Fische im Netz fangen,massenbach1962[141]
F-1993,mei,P-460,"àabéddí, hàabéddí",,bird,werner1993[75]
F-367,mei,P-101,àad-í,,we (excl),werner1993[76]
F-2724,mei,P-39,áadàhèm,,to measure weight,werner1993[75]
F-2323,mei,P-12,àaghêm,,"sit, stay, lie",werner1993[77]
F-2703,xnz,P-46,áai,,leben,massenbach1962[143]
F-299,mei,P-0,áal,,"mouth, speech, word",werner1993[78]
F-300,mei,P-0,áal èngèdí,,doorkeeper,werner1993[78]
F-2112,brk,P-35,aale,,rain,thelwall1977[205]
F-141,fia,P-46,aañ,,leben,khalil1996a[26]
F-142,dgl,P-46,áañ,,"to live, to be alive",armbruster1965[16]
F-325,mei,P-46,áany-áhèm,,to live,werner1993[80]
F-324,mei,P-46,áany-ír,,people,werner1993[81]
F-92,xnz,P-31,áar,,"nehmen, erfassen",massenbach1962[144]
F-93,dgl,P-31,áar,,"to seize, obtain, grasp",armbruster1965[17]
F-329,mei,P-31,àar-hèm,,"to catch, take, marry, believe",werner1993[81]
F-528,mei,P-134,àar-hèm,,"to catch, take, marry ?",werner1993[81]
F-620,mei,P-153,àar-hèm,,"to catch, take, marry, believe ?",werner1993[81]
F-2723,dgl,P-22,áare,,"interior, inner part, inside",armbruster1965[18]
F-108,fia,P-36,aarti,,Insel,khalil1996a[22]
F-109,dgl,P-36,áarti,,island,armbruster1965[19]
F-110,xnz,P-36,áarti,,Insel,massenbach1962[145]
F-309,mei,P-35,"áarùhùm, áaréssùm",,to rain,werner1993[158]
F-117,dgl,P-39,áas,,to measure,armbruster1965[20]
F-2464,fia,P-506,aaw,,Großmutter,khalil1996a[23]
F-912,mei,P-221,"àawí, òowí",,"breast, chest ?",werner1993[83]
F-88,fia,P-30,āb,,,
F-2241,mei,P-29,abba,,father,macmichael1918[52]
F-1171,mei,P-273,àbbá,,father,werner1993[75]
F-2573,fia,P-273,ábo,,my father,khalil1996a[20]
F-2574,xnz,P-273,abu,,father,massenbach1962[141]
F-1636,mei,P-42,àccáhèm,,to bite,werner1993[75]
F-132,xnz,P-42,acci,,"beißen, festhalten",massenbach1962[142]
F-131,dgl,P-42,ácci,,to bite,armbruster1965[4]
F-631,mei,P-157,àccí,,lamb,werner1993[75]
F-1620,mei,P-380,àccìdì,,bark,werner1993[75]
F-12,onw,P-4,ad,,to be amazed,OND[4]
F-2369,onw,P-258,ad-inkan,,both,OND[4]
F-13,onw,P-5,add,,to make ready,OND[4]
F-14,xnz,P-5,addē,,(uncertain),
F-2232,mei,P-7,addē,,white,macmichael1918[52]
F-2158,brk,P-101,adi,,we,thelwall1977[207]
F-16,onw,P-258,adō,,twenty,OND[4]
F-18,onw,P-7,adō,,white,OND[4]
F-11,fia,P-4,adw,,"sich verwundern, sich erschrecken",khalil1996a[17]
F-25,onw,P-9,aeil,,"heart, soul",
F-27,onw,P-10,aeir,,to insult,OND[8]
F-31,dgl,P-12,āg,,"sit, remain",armbruster1965[6]
F-32,fia,P-12,āg,,"sein, bleiben, sitzen",khalil1996a[15]
F-34,xnz,P-12,āg,,,
F-1715,brk,P-0,agal,,mouth,thelwall1977[204]
F-490,fia,P-127,agar,,vergessen,reinisch1879[5]
F-1,dgl,P-0,ágil,,"mouth, aperture",armbruster1965[9]
F-4,xnz,P-0,ágil,,"Mund, Öffnung, Tür",massenbach1962[142]
F-139,fia,P-45,ago,,Schwiegermutter; Schwiegervater,khalil1996a[16]
F-7,onw,P-2,agopp,,sailor,OND[4]
F-10,onw,P-3,agor,,to forget,OND[4]
F-9,fia,P-3,agōr,,to forget,
F-84,xnz,P-28,agūde,,only,
F-0,dgl,P-8,ai,,I,armbruster1965[11]
F-21,fia,P-8,ai,,ich,reinisch1879[5]
F-23,xnz,P-8,ai,,ich,massenbach1962[143]
F-24,fia,P-9,ai,,"Brust, Herz; Selbst",reinisch1879[5]
F-22,onw,P-8,"ai, aei",,I,OND[5]
F-2077,brk,P-9,aidi,,heart,thelwall1977[202]
F-26,fia,P-10,aïr,,,
F-28,xnz,P-10,aïr,,,
F-29,onw,P-11,air-out,,renovation?,OND[8]
F-130,fia,P-42,aj,,beißen,khalil1996a[25]
F-127,xnz,P-41,ajau,,süß,massenbach1962[143]
F-126,fia,P-41,"ajau, ajawi",,sweet,
F-125,onw,P-41,ajauei,,to be sweet,OND[21]
F-129,onw,P-42,ajj,,to bite,OND[21]
F-356,mei,P-21,àk-kə̀rhèm,,"to say, to happen",werner1993[78]
F-33,onw,P-12,"ak, ag",,"sit, remain, live",OND[8]
F-2,fia,P-0,"ak, pl. agī, aglī, agligū",,"Mund, Schnabel",reinisch1879[6]
F-3,onw,P-0,akil,,mouth,OND[4]
F-357,mei,P-43,ákk-ìhèm,,I became,werner1993[77]
F-2240,mei,P-0,āl,,mouth,macmichael1918[52]
F-47,fia,P-16,ál(i),,"Strick, Seil, Band, pre-Nubian",khalil1996a[17]
F-45,onw,P-15,ale,,truth,OND[9]
F-44,fia,P-15,alee,,Wahrheit,khalil1996a[17]
F-43,dgl,P-15,alée,,truth,armbruster1965[13]
F-46,xnz,P-15,alée,,Wahrheit,massenbach1962[143]
F-2269,brk,P-35,āli,,rain,macmichael1918[53]
F-39,dgl,P-14,all,,,
F-40,fia,P-14,all,,"scheinen, erscheinen",khalil1996a[18]
F-42,xnz,P-14,all,,,
F-48,onw,P-16,all,,"to bind, pre-Nubian",OND[10]
F-49,xnz,P-16,all,,"to mend, pre-Nubian",
F-1076,abu,P-243,álʊ̀gʊ̀n,,tomorrow,jakobiA[no. 528]
F-2465,kko,P-506,"ām, ám",,grandmother,jakobiA[no. 132 e]
F-2090,brk,P-8,ama,,I,thelwall1977[203]
F-2298,brk,P-8,ama,,I,macmichael1920[207]
F-54,xnz,P-17,amaajeddi,,der Gürtel,massenbach1962[144]
F-53,xnz,P-17,amáajee,,sich gürten,massenbach1962[144]
F-52,onw,P-17,amad(ei)j,,to strive,OND[10]; stricker1940[cf. 451]; khalil1988[103]
F-56,onw,P-18,amalla,,quickly,OND[10]
F-58,onw,P-19,aman,,"water, river, Nile",OND[10]
F-59,fia,P-19,aman,,"Wasser, Nil",khalil1996a[18]
F-1535,fia,P-361,aman gar,,ufer,reinisch1879[47]
F-2647,fia,P-526,aman-miid,,"water snake, pre-Nubian?",
F-60,onw,P-20,amid,,mouth,OND[11]
F-61,fia,P-20,amir,,weibliche Schamlippen,khalil1996a[19]
F-2384,mei,P-495,ámmár,,elephant,werner1993[79]
F-358,xnz,P-43,an,,"sein, werden",massenbach1962[144]
F-62,onw,P-21,an,,to say,OND[11]
F-63,xnz,P-21,an,,sagen,massenbach1962[144]
F-140,onw,P-46,añ,,to live,OND[23]
F-355,dgl,P-21,án,,to say,armbruster1965[14]
F-359,dgl,P-43,án,,"to become, be",armbruster1965[15]
F-1521,fia,P-358,an-gaa,,mein son,reinisch1879[9]
F-1506,fia,P-354,an-júti,,"mein schwesterson, neffe",reinisch1879[9]
F-2604,mei,P-95,àndáhêm,,"to take, pick up, hold",werner1993[80]
F-2717,mei,P-530,àndálídí,,dream,werner1993[80]
F-2551,mei,P-101,àngá,,we (incl),werner1993[80]
F-1714,fia,P-402,angíssi,,"fisch, pre-Nubian?",reinisch1879[9]
F-1335,mei,P-510,ànngá,,they,werner1993[80]
F-2317,brk,P-46,āny-in,,he is alive,macmichael1920[213]
F-133,onw,P-43,aŋ,,inchoative verb,OND[22]
F-134,fia,P-43,aŋ,,suffix zur bildung der inchoativa,reinisch1879[9]
F-2383,brk,P-495,aŋal,,elephant,thelwall1977[201]
F-135,onw,P-44,aŋis,,to be excellent?,OND[23]
F-136,fia,P-44,aŋis,,"scharf, zugespitzt sein/werden",khalil1996a[25]
F-138,onw,P-45,aŋol,,father-in-law?,OND[23]
F-72,onw,P-25,aoue(ir),,friend,OND[14]
F-87,onw,P-30,ap(p),,to grasp,OND[16]
F-57,fia,P-18,apal,,sich beeilen,khalil1996a[20]
F-2572,onw,P-273,apol,,my father,OND[16]
F-85,onw,P-29,apol,,my father,OND[16]
F-2352,pkn,P-35,ar-ɛ,,"rain, sky",jakobiA[no. 438]; jakobiA[no. 426]
F-91,onw,P-31,"ar, ad",,"to seize, take, know",OND[17]
F-364,dgl,P-101,"ár, ar",,we,armbruster1965[16]
F-365,xnz,P-101,"ar, ár-i",,wir,massenbach1962[144]
F-1678,mei,P-394,àràar-dòngàar,,chameleon,werner1993[81]
F-95,onw,P-32,arak,,to bear,OND[18]
F-522,mei,P-133,árcàhèm,,to ask ?,werner1993[81]
F-571,mei,P-144,àrcàyâm,,it is ripe,werner1993[81]
F-331,mei,P-25,árdí,,"friend, companion, uncertain",werner1993[82]
F-308,mei,P-35,"áré, árí",,rain,werner1993[158]
F-99,fia,P-33,"aree, ari",,"Well, Woge, Wasserfall, Fluß",khalil1996a[21]
F-98,onw,P-33,aregge,,wave(s),OND[18]
F-2370,dgl,P-258,ári,,twenty,armbruster1965[18]
F-1809,fia,P-47,árij,,"fleisch, pre-Nubian",reinisch1879[11]
F-143,dgl,P-32,aríkk,,"to cast, throw off, drop",armbruster1965[18]
F-1042,dgl,P-247,árk,,"to cast, drop, throw",armbruster1965[19]
F-97,dgl,P-32,árk,,"to cast, throw off, drop",armbruster1965[19]
F-1043,xnz,P-247,arki,,"werfen, umwerfen",massenbach1962[145]
F-96,xnz,P-32,arki,,"werfen, umwerfen, abschütteln",massenbach1962[145]; massenbach1962[cf. 173]
F-2349,mei,P-491,ármí,,hyena,werner1993[82]
F-1888,fia,P-440,arñ,,niesen,reinisch1879[11]
F-15,fia,P-258,arō,,twenty,khalil1996a[21]
F-19,xnz,P-7,áro,,"weiß, gut",massenbach1962[145]
F-17,dgl,P-7,árō,,"white, pale",armbruster1965[19]
F-104,onw,P-35,arou,,rain,OND[19]
F-2416,mei,P-499,arr,,female,macmichael1912[338]
F-94,fia,P-31,arr,,"to bring, take",
F-101,dgl,P-33,árre,,wave,armbruster1965[19]
F-100,xnz,P-33,árree,,"Wasserfall, Katarakt",massenbach1962[145]
F-2268,mei,P-35,arri,,rain,macmichael1918[53]
F-2695,mei,P-171,arro,,clothes,macmichael1912[337]
F-107,onw,P-36,art(i),,island,OND[20]
F-1666,mei,P-391,ártí,,breast,werner1993[82]
F-105,xnz,P-35,áru,,Regen,massenbach1962[145]
F-106,dgl,P-35,áru,,rain,armbruster1965[20]
F-2696,brk,P-171,aɽu,,cloth,thelwall1977[200]
F-112,fia,P-37,as,,Tochter,reinisch1879[12]
F-113,onw,P-38,as,,morning,OND[21]
F-114,dgl,P-38,ás-al,,"morrow, tomorrow",armbruster1965[20]
F-115,xnz,P-38,ás-al,,der morgige Tag,massenbach1962[146]
F-111,onw,P-37,"as, asti",,daughter,OND[20]
F-307,mei,P-37,"àsì, àssì",,daughter,werner1993[148]
F-2418,dgl,P-37,áss(i),,"small branch, twig, shoot",
F-2078,mei,P-9,ássád,,"heart, with diminutive suffix",werner1993[82]
F-2580,onw,P-524,aššauei,,"to fear, be concerned ?",OND[21]
F-118,onw,P-40,asse,,water,OND[21]
F-1887,dgl,P-440,"atiñ, atiš",,to sneeze,armbruster1965[22]
F-1921,fia,P-447,au,,"der schweif, wedel",reinisch1879[13]
F-2463,dgl,P-506,au,,grandmother,armbruster1965[23]
F-64,onw,P-22,au,,interior,OND[12]
F-68,dgl,P-23,āu,,"to do, perform",armbruster1965[23]
F-69,xnz,P-23,āu,,,
F-83,onw,P-28,au(r)out,,"alone, self",OND[15]
F-70,onw,P-35,auei,,rain,OND[14]
F-77,onw,P-26,"aueir, awour, aur",,wing,OND[14]
F-73,onw,P-25,aueit,,friendship,OND[14]
F-79,dgl,P-26,"áur, áwir",,wing; branch,armbruster1965[24]
F-67,fia,P-23,āw,,"tun, machen",khalil1996a[24]
F-2467,mei,P-506,àwà,,grandmother,werner1993[83]
F-903,fia,P-220,"awa, auwo",,"die nacht, pre-Nubian",reinisch1879[14]
F-330,mei,P-26,áwár,,wing,werner1993[83]
F-1896,mei,P-442,àwàr,,spider,werner1993[83]
F-2161,brk,P-26,"awarti, pl. awaare",,wing,thelwall1977[207]
F-78,fia,P-26,awir,,"achsel,flügel",reinisch1879[15]
F-80,xnz,P-26,áwir,,"Flügel, Achsel",massenbach1962[147]
F-65,fia,P-22,áwo,,"hinein, drinnen",khalil1996a[24]
F-71,fia,P-35,"awou, awi",,Regen(wasser),khalil1996a[24]
F-2555,mei,P-193,àyìdì,,"egg, loan or innovation",werner1993[84]
F-2300,brk,P-59,azein,,good,macmichael1920[207]
F-1169,dgl,P-273,báab,,father,armbruster1965[25]
F-1170,xnz,P-273,báab,,Vater,massenbach1962[147]
F-1134,xnz,P-265,báag,,teilen,massenbach1962[147]
F-1136,dgl,P-265,báag,,"to divide, divide into shares",armbruster1965[27]
F-1159,dgl,P-271,báaj,,"to write, inscribe",armbruster1965[27]
F-1161,xnz,P-271,báaj,,"schreiben, malen, schminken",massenbach1962[148]
F-1191,xnz,P-279,báaj,,"fertig sein, zu Ende sein",massenbach1962[148]
F-1192,dgl,P-279,báaj,,to divorce,armbruster1965[28]
F-1195,xnz,P-280,báaj,,aufgehen,massenbach1962[148]
F-1019,xnz,P-242,báal,,"Sinn, Gedächtnis",massenbach1962[148]
F-1022,dgl,P-242,báal,,"attention, mind",armbruster1965[28]
F-1020,xnz,P-242,báalee,,sich kümmern um,massenbach1962[148]
F-2363,dgl,P-493,baan,,to dance,armbruster1965[28]
F-1160,dgl,P-271,báar,,to scratch,armbruster1965[29]
F-1162,xnz,P-271,báar,,schärfen,massenbach1962[148]
F-1188,xnz,P-278,báaš,,"teilen, spalten, abspalten",massenbach1962[149]
F-1135,dgl,P-265,bág,,"to distribute, deal out in shares",armbruster1965[26]
F-2135,dgl,P-474,bágoon,,summer < Copt. ⲡⲁⲭⲱⲛ,armbruster1965[27]
F-2495,xnz,P-513,bain,,sprechen,massenbach1962[148]
F-2566,xnz,P-523,bain,,sprechen,massenbach1962[148]
F-2494,fia,P-513,baññ,,"sagen, sprechen",khalil1996a[95]
F-2564,dgl,P-523,baññ,,"to speak, talk",armbruster1965[29]
F-2565,fia,P-523,baññ,,"sagen, sprechen",khalil1996a[95]
F-2497,dgl,P-513,báññ(i),,"to speak, talk",armbruster1965[29]
F-2098,dgl,P-471,báŋga,,"locust, cricket",armbruster1965[28]
F-1214,xnz,P-285,bar,,"wählen, reinigen",massenbach1962[149]
F-1215,dgl,P-285,bár,,"to sort, select",armbruster1965[29]
F-1943,dgl,P-452,bárs(i),,twin,armbruster1965[30]
F-1945,fia,P-452,bársi,,zwilling,reinisch1879[19]
F-1944,xnz,P-452,"barsi, bersi",,Zwilling,massenbach1962[149]
F-1151,mei,P-269,básál,,onion,werner1993[84]
F-1775,dgl,P-419,bée,,"to kill, extinguish, numb",armbruster1965[31]
F-1778,xnz,P-419,bée,,"töten, Feuer auslöschen",massenbach1962[150]
F-2277,dgl,P-482,beenna,,paternal uncle,armbruster1965[33]
F-2421,dgl,P-500,beer,,"to get sated, to have enough",armbruster1965[34]
F-1779,xnz,P-419,béerar,,Mord,massenbach1962[150]
